group,variable,value
proto,-0.017086090193675667,-0.021636128736901346
state,0.008181861898587715,0.16966404098311624
dur,0.0025643050116341015,0.009236611736071642
sbytes,0.00038938820039252956,0.000431078562428493
dbytes,0.0026233634347536316,-0.0009582389201984552
sttl,-0.1939148394317026,0.9407165244420418
dttl,0.09624895087092623,0.22261422845982698
sloss,0.001243740482192141,0.00027432226321483314
dloss,0.0031783509429583524,-0.0010669321974030885
service,0.024085331700535943,-0.005448957164536787
Sload,-0.014037489915053174,0.0018282578414070946
Dload,0.09885895100980382,-0.07229743547530618
Spkts,0.0035483342871526404,-0.000548085076941145
Dpkts,0.004078731464014842,-0.0013746228411327835
swin,0.6033784930986719,0.10137803907540624
dwin,0.6043520266911339,0.08782336393853668
stcpb,0.3263204378940028,0.08055829988973646
dtcpb,0.32610552121700614,0.07965782394764459
Sjit,0.001364709238965571,0.004307420498094506
Djit,0.0053250496432044065,0.0002446032915379721
Sintpkt,-0.0011505934183848327,-0.0037835460568010413
Dintpkt,-0.0003665620772325577,-0.0015810886969228283
tcprtt,0.0010352377546812804,0.005536620929046479
